City;Region;Country
Bratislava;Bratislavsky_kraj;Slovakia
Kosice;Kosicky_kraj;Slovakia
Presov;Presovsky_kraj;Slovakia
Zilina;Zilinsky_kraj;Slovakia
Nitra;Nitriansky_kraj;Slovakia
Banska Bystrica;Banskobystricky_kraj;Slovakia
Trnava;Trnavsky_kraj;Slovakia
Trencin;Trenciansky_kraj;Slovakia
Martin;Zilinsky_kraj;Slovakia
Poprad;Presovsky_kraj;Slovakia
Povazska Bystrica;Trenciansky_kraj;Slovakia
Michalovce;Kosicky_kraj;Slovakia
Levice;Nitriansky_kraj;Slovakia
Spisska Nova Ves;Kosicky_kraj;Slovakia
Komarno;Nitriansky_kraj;Slovakia
Lucenec;Banskobystricky_kraj;Slovakia
Hlohovec;Trnavsky_kraj;Slovakia
Prievidza;Trenciansky_kraj;Slovakia
Rimavska Sobota;Banskobystricky_kraj;Slovakia
Liptovsky Mikulas;Zilinsky_kraj;Slovakia
Cadca;Zilinsky_kraj;Slovakia
Dolny Kubin;Zilinsky_kraj;Slovakia
Trebisov;Kosicky_kraj;Slovakia
Nove Zamky;Nitriansky_kraj;Slovakia
Pezinok;Bratislavsky_kraj;Slovakia
Senica;Trnavsky_kraj;Slovakia
Skalica;Trnavsky_kraj;Slovakia
Piestany;Trnavsky_kraj;Slovakia
Topolcany;Nitriansky_kraj;Slovakia
Bardejov;Presovsky_kraj;Slovakia
Roznava;Kosicky_kraj;Slovakia
Stara Lubovna;Presovsky_kraj;Slovakia
Prague;Hlavni_mesto_Praha;Czechia
Brno;Jihomoravsky_kraj;Czechia
Ostrava;Moravskoslezsky_kraj;Czechia
Warsaw;Masovian_Voivodeship;Poland
Krakow;Lesser_Poland_Voivodeship;Poland
Wroclaw;Lower_Silesian_Voivodeship;Poland
